"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3Dheart+rate+age",2015/06/27 01:56:58
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Scale-Invariant Aspects of Cardiac Dynamics Across Sleep Stages and Circadian Phases","Ivanov, P.Ch.","Boston Univ., Boston","Engineering in Medicine and Biology Magazine, IEEE","20071119","2007","26","6","33","37","We find that key scale-invariant features of heartbeat dynamics, which have been previously associated with the underlying mechanisms of cardiac regulation, change significantly with sleep-wake transition, across sleep stages and circadian phases under both healthy and pathologic conditions. Our findings indicate that sleep-wake and circadian cycles do not simply modulate basic physiologic functions by generating rhythms with a fixed periodicity, but also influence the neural regulation of fundamental physiologic systems such as the cardiovascular system simultaneously over a broad range of time scales. Our empirical observations suggest that the neural systems of sleep and circadian regulation play an important role in the scale-invariant fractal organization of cardiac dynamics (and perhaps also of other physiologic dynamics), which has been shown to breakdown with disease and advanced age.","0739-5175","","","10.1109/EMB.2007.907093","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4385568","","Data mining;Fluctuations;Heart beat;Heart rate;Probability distribution;Rhythm;Signal analysis;Sleep;Time series analysis;Wavelet transforms","cardiovascular system;neurophysiology;sleep","cardiac dynamics;cardiovascular system;circadian cycles;heartbeat;neural regulation;scale-invariant fractal organization;sleep-wake transition","Animals;Biological Clocks;Circadian Rhythm;Heart Conduction System;Heart Rate;Humans;Models, Biological;Sleep Stages","3","","46","","","Nov.-Dec. 2007","","IEEE","IEEE Journals & Magazines"
"Psychophysiological Measurements in a Biocooperative Feedback Loop for Upper Extremity Rehabilitation","Novak, D.; Mihelj, Matjaz; Ziherl, J.; Olensek, A.; Munih, M.","Fac. of Electr. Eng., Univ. of Ljubljana, Ljubljana, Slovenia","Neural Systems and Rehabilitation Engineering, IEEE Transactions on","20110808","2011","19","4","400","410","This paper examines the usefulness of psychophysiological measurements in a biocooperative feedback loop that adjusts the difficulty of an upper extremity rehabilitation task. Psychophysiological measurements (heart rate, skin conductance, respiration, and skin temperature) were used both by themselves and in combination with task performance and biomechanics. Data fusion was performed with discriminant analysis, and a special adaptive version was implemented that can gradually adapt to a subject. Both healthy subjects and hemiparetic patients participated in the study. The accuracy of the biocooperative controller was defined as the percentage of times it matched the subjects' preferences. The highest accuracy rate was obtained for task performance (approximately 82% for both healthy subjects and patients), with psychophysiological measurements yielding relatively low accuracy (approximately 60%). The adaptive approach increased accuracy of psychophysiological measurements to 76.4% for healthy subjects and 68.8% for patients. Combining psychophysiology with task performance yielded an accuracy rate of 84.7% for healthy subjects and 89.4% for patients. Results suggest that psychophysiological measurements are not reliable as a primary data source in motor rehabilitation, but can provide supplementary information. However, it is questionable whether the amount of additional information justifies the increased complexity of the system.","1534-4320","","","10.1109/TNSRE.2011.2160357","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5929565","Biocooperative robotics;human factors;multimodal interfaces;psychophysiological measurements;rehabilitation robotics","Feedback loop;Heart rate;Psychology;Robot sensing systems;Skin;Temperature measurement","biomechanics;biomedical measurement;medical robotics;patient rehabilitation;sensor fusion","biocooperative feedback loop;biomechanics;data fusion;heart rate;motor rehabilitation;psychophysiological measurement;respiration;skin conductance;skin temperature;task performance;upper extremity rehabilitation","Adult;Algorithms;Biomechanics;Data Interpretation, Statistical;Electrocardiography;Feedback;Female;Galvanic Skin Response;Heart Rate;Humans;Linear Models;Male;Middle Aged;Paresis;Psychomotor Performance;Psychophysiology;Rehabilitation;Reproducibility of Results;Respiratory Rate;Robotics;Skin Temperature;Stroke;Upper Extremity;User-Computer Interface;Young Adult","5","","32","","2011-06-23","Aug. 2011","","IEEE","IEEE Journals & Magazines"
"Study of relationship between heart rate variability and autonomic function using cold pressor test for Malaysian population","Aimie-Salleh, N.; Malarvili, M.B.","Dept. of Biomed. Instrum. & Signal Process., Univ. Teknol. Malaysia, Johor Bahru, Malaysia","Humanities, Science and Engineering (CHUSER), 2011 IEEE Colloquium on","20120305","2011","","","351","354","This paper investigates HRV response of healthy subject during cold pressor test using AR spectral analysis with Burg estimation. Cold pressor test is one of the autonomic function tests performed by immersing the hand into cold water. In this study, ECG was recorded from 26 young adults; 9 males and 17 females with age ranging from 20-40. Autoregressive estimated by Burg is used to compute the power spectral density of the R-R interval. From the ongoing results, 22 subjects show an increase of LFnu and a decrease of HFnu during cold pressor while four subjects show opposite response. For LF/HF ratio, nine subjects show values greater than one which indicates a parasympathetic predominance during the CP while 17 from them indicate less than one, reflecting sympathetic predominance.","","978-1-4673-0021-6","","10.1109/CHUSER.2011.6163749","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6163749","Autonomic function;Autoregressive;Cold pressor;Heart rate variability;Spectral analysis","Computational modeling;Electrocardiography;Estimation;Frequency modulation;Heart rate variability;Resonant frequency;Spectral analysis","autoregressive processes;cardiology;electrocardiography","AR spectral analysis;Burg autoregressive estimation;ECG;Malaysian population;autonomic function;autonomic function tests;cold pressor test;heart rate variability;parasympathetic predominance","","0","","22","","","5-6 Dec. 2011","","IEEE","IEEE Conference Publications"
"Multiway sequential hypothesis testing for tachyarrhythmia discrimination","Thakor, N.V.; Natarajan, A.; Tomaselli, G.F.","Dept. of Biomed. Eng., Johns Hopkins Sch. of Med., Baltimore, MD, USA","Biomedical Engineering, IEEE Transactions on","20020806","1994","41","5","480","487","A multiway sequential hypothesis testing (M-SHT) algorithm is proposed for simultaneous discrimination of cardiac tachyarrhythmias-supraventricular tachycardia (SVT) and ventricular tachycardia (VT)-from normal sinus rhythm (NSR). The M-SHT algorithm calculates a likelihood function from atrio-ventricular delay measurements, and compares this function with thresholds derived from specified error probabilities for the arrhythmias to be discriminated. Performance of this algorithm was evaluated on dual channel endocardial electrograms recorded in the cardiac electrophysiology laboratory. Two databases were developed, one for development of the algorithm and another for evaluation. The M-SHT algorithm accurately classified 26 out of 28 NSR (2 misclassified as SVT), 31 out of 31 cases of SVT, and 41 out of 43 VT (2 misclassified as NSR). The average length of time taken for classification of the three rhythms was: 3.6 s for NSR, 5.0 s for SVT, and 1.6 s for VT. Unique features of this algorithm are that acceptable error rates for each arrhythmia are independently specified and accuracy can be traded off for a faster detection time, and vice versa.","0018-9294","","","10.1109/10.293223","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=293223","","Cardiology;Delay;Electrocardiography;Error analysis;Frequency domain analysis;Medical diagnostic imaging;Rhythm;Sequential analysis;Signal processing algorithms;Testing","electrocardiography;medical signal processing","1.6 to 5 s;ECG analysis;atrioventricular delay measurements;cardiac electrophysiology laboratory;cardiac tachyarrhythmias;databases;detection time;dual channel endocardial electrograms;error rates;heart disorders;likelihood function;multiway sequential hypothesis testing algorithm;normal sinus rhythm;specified error probabilities;supraventricular tachycardia;tachyarrhythmia discrimination;ventricular tachycardia","Adult;Algorithms;Electrocardiography;Female;Humans;Likelihood Functions;Male;Middle Aged;Normal Distribution;Signal Processing, Computer-Assisted;Tachycardia","9","2","24","","","May 1994","","IEEE","IEEE Journals & Magazines"
"Assessing spontaneous baroreflex in aged with pulse-pulse intervals and pulse amplitudes","An-Bang Liu; Hsien-Tsai Wu; Cyuan-Cin Liu; Yan-Cheng Huang; Hong-Ruei Chen; Chun-Hsiang Hsu; Chieh-Ju Tang","Dept. of Neurology, Buddhist Tzu Chi Univ., Hualien, Taiwan","Engineering in Medicine and Biology Society (EMBC), 2013 35th Annual International Conference of the IEEE","20130926","2013","","","2072","2075","Cardiac autonomic dysfunction is a serious condition in the elder subjects. Baroreflex sensitivity (BRS) by measuring pulse intervals and blood pressure has been proven as an effective indicator. This paper proposes a novel index by substitution blood pressure with amplitudes of pressure pulse. We recruited 61 subjects divided into two groups: healthy young subjects (Group1, n=33), healthy elders (Group2, n=28). The wrist pulse pressures of each subject were measured for 5 minutes to obtain pulse-pulse intervals and amplitudes then applied within the spontaneous sequence technique to calculate the pulse-pulse interval and amplitude ratio (PAR). We verified the reproducibility of PAR and agreement with spectral analysis of heart rate variability in group1 participants. We discovered significant differences between different groups in PAR (Group1 vs. Group2: 0.90±0.42 vs. 0.62±0.27, P=0.010). In contrast with measurements of BRS, this study proposes a simple approach without the necessity of blood pressure calibration or professional expertise to conduct measurements, thereby providing a convenient method for assessing autonomic function at home.","1557-170X","","","10.1109/EMBC.2013.6609940","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6609940","","Baroreflex;Biomedical monitoring;Blood pressure;Peak to average power ratio;Pressure measurement;Sensitivity;Wrist","blood pressure measurement;calibration;cardiology;geriatrics","baroreflex sensitivity;blood pressure;calibration;cardiac autonomic dysfunction;elder subjects;heart rate variability;pulse amplitude ratio;pulse-pulse interval;spectral analysis;spontaneous baroreflex;spontaneous sequence technique;time 5 min","","0","","21","","","3-7 July 2013","","IEEE","IEEE Conference Publications"
"Telemedicine application for predicting ventricular arrhythmia and sudden cardiac death by the analysis of phase synchronization in heart failure patients","Khoor, S.; Szuszai, T.; Balogh, N.; Kecskes, I.; Fugedi, K.; Kovacs, I.; Simon, I.; Rubicsek, S.","Szent Istvan Hosp., Budapest, Hungary","Computing in Cardiology (CinC), 2012","20130128","2012","","","981","984","The approach consists of an application of the Hilbert-Huang transform to decompose an empirical time series into a number of intrinsic mode functions (IMFs), calculation of instantaneous phase of the resultant IMFs, and the statistics of synchronization. Our telemedicine server collected the 24-hour ambulatory ECGs (RhythmPattern, SzivLeso) and analyzed the data. The study population (age 67.3±8.2 years) consists of 97 heart failure patients with EF <; 0.35, where frequent (>; 4000/24 hours) ventricular ectopic beats were found. The ECG monitoring was repeated in every month with a mean follow-up was 36.4 months. The number of synchronization (NSy), its length (ASy), were compared in patients with and without ventricular tachycardia (VT+: number of patients 21, VT-: 76); with and without sudden cardiac death (SCD+: 11, SCD-: 86). The dichotomization cutoff points that maximized the hazard ratio obtained from the Cox regression model were: NSy: 18.4/24hour; ASy: 69.3 minute; SI: 0.39.","2325-8861","978-1-4673-2076-4","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6420560","","Electrocardiography;Heart rate variability;Silicon;Synchronization;Telemedicine;Time series analysis","Hilbert transforms;electrocardiography;medical disorders;patient monitoring;regression analysis;synchronisation;telemedicine;time series","Cox regression model;ECG monitoring;Hilbert-Huang transform;RhythmPattern;ambulatory ECG;dichotomization cutoff points;empirical time series;hazard ratio;heart failure patients;intrinsic mode functions;phase synchronization analysis;sudden cardiac death;synchronization statistics;telemedicine application;telemedicine server;ventricular arrhythmia prediction;ventricular ectopic beats;ventricular tachycardia","","0","","11","","","9-12 Sept. 2012","","IEEE","IEEE Conference Publications"
"Comparison of different sensors and analysis techniques for tropical mangrove forest mapping","Aschbacher, J.; Tiangco, P.; Giri, C.P.; Ofren, R.S.; Paudyal, D.R.; Ang, Y.K.","Joint Res. Centre, Comm. of the Eur. Communities, Ispra, Italy","Geoscience and Remote Sensing Symposium, 1995. IGARSS '95. 'Quantitative Remote Sensing for Science and Applications', International","20020806","1995","3","","2109","2111 vol.3","The objective of this study is to compare different remote sensing sensors and analysis techniques for the purpose of mangrove mapping. A study area in Southern Thailand of approximately 40×30 km size was selected. A systematic assessment of strengths and limitations of data taken from different sensors, namely Landsat TM, SPOT HRV, MOS MESSR, JERS-1 SAR and ERS-1 SAR, was carried out. The results of the investigation show that optical remote sensing data is highly suitable for mapping mangrove forests and can discriminate reasonably well four mangrove forest classes, namely homogeneous rhizophora, homogeneous nypa, mixed dense and mixed open mangrove forest. The classification accuracy is approximately 87%. The use of radar data alone resulted in a significantly lower classification accuracy, but on the other hand provided additional information related to the age distribution of rhizophora stands","","0-7803-2567-2","","10.1109/IGARSS.1995.524122","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=524122","","Ecosystems;Heart rate variability;Optical sensors;Radar remote sensing;Remote monitoring;Remote sensing;Satellites;Sea measurements;Sensor systems;Spaceborne radar","forestry;geophysical signal processing;geophysical techniques;image classification;radar imaging;remote sensing by radar;spaceborne radar;synthetic aperture radar","ERS-1;JERS-1;Landsat TM;MOS MESSR;SAR imagery;SPOT HRV;Thailand;age distribution;geophysical measurement technique;image classification;mangrove forest;nypa;optical imaging;radar remote sensing;rhizophora;synthetic aperture radar;tropical mangrove forest;vegetation mapping;visible multispectral method","","0","","4","","","10-14 Jul1995","10 Jul 1995-14 Jul 1995","IEEE","IEEE Conference Publications"
"Improved frequency-domain analysis of ventricular late potentials","Lin, C.C.","Dept. of Electron. Eng., Lunghwa Univ. of Sci. & Technol.","Computers in Cardiology, 2005","20060206","2005","","","479","482","Many methods of segment selection of various lengths and locations in the high-frequency spectral analysis of ventricular late potentials (VLPs) in signal-averaged electrocardiograms (SAECGs) have been demonstrated to yield conflicting results in clinical applications. This work compares of a new locally developed method with two existing methods for detecting VLPs in the frequency domain. A total of 154 normal individuals, 94 patients with frequent ventricular premature contraction (VPC) and 26 patients with sustained ventricular tachycardia (VT) were recruited for the study. Two existing methods use a 120 ms time segment, starting from 20 ms before spatial vector velocity <5 mV/s and vector magnitude <40 muV at the terminal QRS complex, to analyze the VLPs. A locally developed 80 ms segment, starting from 60 ms before the QRS offset, was shown to outperform these two currently adopted methods. The areas under the receiver operating curves (AUCs) of the root-mean-square amplitude (RMSA) in the 60 to 120 Hz band were 82.2% versus 60.2% and 55.2%, and the AUCs of the RMSA ratio (RMSAR) (100times[60 to 120 Hz RMSA/0 to 120 Hz RMSA]) were 77.2% versus 54.9% and 53.1%. The locally developed method, which uses the QRS offset as a reference for selecting segments is determined substantially to improve VLPs analysis in the frequency domain","","0-7803-9337-6","","10.1109/CIC.2005.1588141","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1588141","","Aging;Cardiology;Electrocardiography;Frequency domain analysis;Heart rate variability;Hospitals;Signal analysis;Signal resolution;Spectral analysis;Time domain analysis","bioelectric potentials;electrocardiography;frequency-domain analysis;medical signal detection;medical signal processing;sensitivity analysis;spectral analysis","120 ms;60 to 120 Hz;80 ms;QRS signal detection;area under receiver operating curves;frequency-domain analysis;high-frequency spectral analysis;normal individuals;root-mean-square amplitude;signal-averaged electrocardiograms;sustained ventricular tachycardia patients;ventricular late potential detection;ventricular premature contraction patients","","0","","12","","","25-28 Sept. 2005","","IEEE","IEEE Conference Publications"
"Cardiovascular Response of Individuals With Spinal Cord Injury to Dynamic Functional Electrical Stimulation Under Orthostatic Stress","Yoshida, T.; Masani, K.; Sayenko, D.G.; Miyatani, M.; Fisher, J.A.; Popovic, M.R.","Inst. of Biomater. & Biomed. Eng., Univ. of Toronto, Toronto, ON, Canada","Neural Systems and Rehabilitation Engineering, IEEE Transactions on","20130104","2013","21","1","37","46","In this pilot study, we examined how effectively functional electrical stimulation (FES) and passive stepping mitigated orthostatic hypotension in participants with chronic spinal cord injury (SCI). While being tilted head-up to 70<sup>°</sup> from the supine position, the participants underwent four 10-min conditions in a random sequence: 1) no intervention, 2) passive stepping, 3) isometric FES of leg muscles, and 4) FES of leg muscles combined with passive stepping. We found that FES and passive stepping independently mitigated a decrease in stroke volume and helped to maintain the mean blood pressure. The effects of FES on stroke volume and mean blood pressure were greater than those of passive stepping. When combined, FES and passive stepping did not interfere with each other, but they also did not synergistically increase stroke volume or mean blood pressure. Thus, the present study suggests that FES delivered to lower limbs can be used in individuals with SCI to help them withstand orthostatic stress. Additional studies are needed to confirm whether this use of FES is applicable to a larger population of individuals with SCI.","1534-4320","","","10.1109/TNSRE.2012.2211894","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6264105","Functional electrical stimulation (FES);orthostatic hypotension;rehabilitation engineering;spinal cord injury (SCI)","Blood pressure;Electrodes;Electromyography;Heart rate;Hip;Muscles;USA Councils","bioelectric phenomena;blood;cardiovascular system;haemodynamics;injuries;muscle;neurophysiology","SCI;cardiovascular response;chronic spinal cord injury;dynamic functional electrical stimulation;leg muscles;mean blood pressure;orthostatic hypotension;orthostatic stress;passive stepping;random sequence;stroke volume;supine position","Adult;Blood Pressure;Electric Stimulation Therapy;Female;Humans;Leg;Male;Middle Aged;Muscle, Skeletal;Orthostatic Intolerance;Spinal Cord Injuries;Stroke Volume;Treatment Outcome","0","","47","","2012-08-09","Jan. 2013","","IEEE","IEEE Journals & Magazines"
"Haemodynamic parameters for assessment of orthostatic intolerance in older people","Garcia-Salmeron, F.; Reilly, R.B.; Cogan, L.; Millet, J.; Cervigon, R.","Univ. de Castilla-La Mancha, Cuenca, Spain","Computing in Cardiology Conference (CinC), 2013","20140116","2013","","","1111","1114","Orthostatic hypotension (OH) is a frequent cause of orthostatic intolerance (OI) and related symptoms associa/-ted with the occurrence of syncope. The purpose of this study was to examine if older people haemodynamic profile with symptoms of OI is different to controls during active stand. The database includes sample of 45 participants, aged at least 60 years, where 46.7% (n=21) had symptomatic OI and 53.3% (n=24) did not. Haemodynamic parameters were registered during three phases: a pre-exercise, walking phase and a post-exercise stand. Different haemodynamic parameters such as, pulse rate (HR), systolic blood pressure (SBP), diastolic blood pressure (DBP) and cardiac output (CO) were extracted at each of the phases. Results showed differences along phases in both groups. Mean HR differences in phase 1-2 and phase 2-3 showed a statistical signification between symptomatic OI and non-symptomatic OI group. In addition, the combination of the variables rise/fall time-maximum/minimum amplitude in phases 2-3 showed opposite trends in men and women in symptomatic and non-symptomatic OI groups. These findings show the potential of haemodynamic parameters to classify symptomatic and non-symptomatic OI in older people.","2325-8861","978-1-4799-0884-4","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6713576","","Aging;Biomedical monitoring;Blood;Blood flow;Heart rate;Market research","blood pressure measurement;cardiology;gait analysis;geriatrics;medical disorders;statistical analysis","active stand condition;cardiac output;diastolic blood pressure;haemodynamic parameters extraction;nonsymptomatic orthostatic intolerance classification;older people haemodynamic profile;orthostatic hypotension;orthostatic intolerance assessment;orthostatic intolerance symptoms;post-exercise stand phase;preexercise phase;pulse rate;statistical analysis;syncope;systolic blood pressure;walking phase","","0","","21","","","22-25 Sept. 2013","","IEEE","IEEE Conference Publications"
"Effect of change in intensity of infrared LED on a photoplethysmogram","Shriram, R.; Sundhararajan, M.; Daimiwal, N.","Dept. of ECE, Sathyabama Univ., Chennai, India","Communications and Signal Processing (ICCSP), 2014 International Conference on","20141110","2014","","","1064","1067","Peripheral pulse captured with the help of optical sensor placed on an appendage, is known as photoplethysmography (PPG). PPG can be recorded by using reflectance or transmittance type of probe. Transmittance type of probe is used only at the sites were tissue denseness is lower. While the reflectance type of probe is independent of tissue denseness, if it is operated at a higher intensity. The aim of the project is to develop a reflectance type photoplethysmographic sensor to study the intensity dependent penetration of IR light into the human tissue. The designed PPG sensor consists of IR LED of 860 nm wavelength and 5 mm diameter with OPT 101 as a detector. The system was tested for the real signals. The photoplethysmographic signals were obtained from 6 female subjects of different age group. It was seen that the penetration of IR light into the human tissue is more at higher intensity than the penetration IR light at lower intensity. Higher the intensity, higher is the peak to peak voltage of PPG waveform. As the intensity decreases, the peak-peak voltage of PPG waveform also decrease, making it noisier. The recorded decrease in the PPG output from highest to lowest intensity was 35% - 40%for all the subjects.","","978-1-4799-3357-0","","10.1109/ICCSP.2014.6950010","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6950010","Human Tissue;IR Light Penetration;Infrared LED;OPT101 and Reflectance type Photoplethysmogram","Heart rate;Indexes;Light emitting diodes;Optimized production technology;Probes;RNA;Reflectivity","bio-optics;biological tissues;biomedical equipment;data acquisition;demography;infrared sources;light emitting diodes;light reflection;light transmission;noise;optical sensors;photodiodes;photoplethysmography;probes;waveform analysis","IR LED diameter;IR LED wavelength;IR light intensity dependence;IR light penetration;OPT 101 detector;PPG noise;PPG output;PPG recording;PPG sensor design;PPG waveform peak-peak voltage;appendage placement;female age group;human tissue denseness dependence;human tissue site;infrared LED intensity change effect;optical sensor placement;peripheral pulse capture;photoplethysmographic signal acquisition;probe reflectance type;probe transmittance type;reflectance type photoplethysmographic sensor;size 5 mm;system testing;wavelength 860 nm","","0","","13","","","3-5 April 2014","","IEEE","IEEE Conference Publications"
"Quantification of cardio-respiratory interactions in healthy children during night-time sleep using joint symbolic dynamics","Kabir, M.M.; Kohler, M.; Abbott, D.; Baumert, M.","Sch. of Electr. & Electron. Eng., Univ. of Adelaide, Adelaide, SA, Australia","Engineering in Medicine and Biology Society, EMBC, 2011 Annual International Conference of the IEEE","20111201","2011","","","1459","1462","The aim of this paper was to study interactions between R-R intervals and respiratory phases in healthy children during night-time sleep using a novel technique based on joint symbolic dynamics. We investigated overnight polysomnography data of 40 healthy children. The R-R time series were extracted from electrocardiograms (ECG) and respiratory phases were obtained from abdominal sensors using the Hilbert transform. Both the series were transformed into ternary symbol vectors based on the changes between two successive R-R intervals or respiratory phases, respectively. Subsequently, words of length `2' were formed and the correspondence between words of the two series for each sleep stage was determined to quantify cardio-respiratory interaction. We found a significantly higher percentage of similarity in the joint symbolic dynamics of R-R intervals and respiratory phases during slow-wave (SW) sleep compared to any other sleep stage. There was, however, no significant effect of age, gender or BMI on cardio-respiratory interaction. In conclusion, joint symbolic dynamics provides a novel efficient technique for the analysis of cardio-respiratory interaction.","1557-170X","978-1-4244-4121-1","978-1-4244-4122-8","10.1109/IEMBS.2011.6090338","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6090338","","Heart rate;Joints;Pediatrics;Sleep;Synchronization;Time series analysis;Vectors","Hilbert transforms;electrocardiography;feature extraction;lung;medical signal processing;paediatrics;sensors;sleep","BMI;Hilbert transform;R-R intervals;abdominal sensors;age;cardio-respiratory interactions;electrocardiograms;feature extraction;gender;healthy children;joint symbolic dynamics;night-time sleep;overnight polysomnography data;respiratory phases;slow-wave sleep;ternary symbol vectors","Algorithms;Child;Child, Preschool;Diagnosis, Computer-Assisted;Documentation;Electrocardiography;Female;Heart Rate;Humans;Male;Polysomnography;Respiratory Mechanics;Symbolism","0","","23","","","Aug. 30 2011-Sept. 3 2011","","IEEE","IEEE Conference Publications"
"Perceived usefulness among elderly people: Experiences and lessons learned during the evaluation of a wrist device","Holzinger, A.; Searle, G.; Pruckner, S.; Steinbach-Nordmann, S.; Kleinberger, T.; Hirt, E.; Temnitzer, J.","Res. Unit HCI4MED, Med. Univ. Graz, Graz, Austria","Pervasive Computing Technologies for Healthcare (PervasiveHealth), 2010 4th International Conference on-NO PERMISSIONS","20100607","2010","","","1","5","In this paper, we present and discuss the evaluation of end user acceptance of a wrist device, designed to monitor vital signs and to detect adverse situations, such as falls, unconsciousness etc. and, if necessary, to alert emergency services to the wearers need. The goals of all concerned must be taken into account if the technological advances are to be of benefit to those for whom they are being designed. After the technical assessment was made, a further study of the end users views was aimed to show the acceptance levels of elderly end users to the idea of personal monitoring, its perceived usefulness in their every day lives, and their judgment of the design. This was made in the form of a questionnaire divided into five main areas: usefulness, attractiveness, usability, comfort and acceptance, and each end user was interviewed regarding their goals. Each of the interviewees regarded their own continuing independence as a primary goal; however their views as to the possibility of achieving this goal by the use of advanced technology differed. This work was completed as part of the EMERGE project, aimed at the support of elderly people in everyday life using innovative monitoring and assistance systems, with the use of ambient and unobtrusive sensors in order to increase their safety, thereby promoting a longer period of independence, a step made necessary by the demographic increase in the elderly population in Europe.","","978-963-9799-89-9","978-963-9799-89-9","10.4108/ICST.PERVASIVEHEALTH2010.8912","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5482228","Acceptance;Aging;Elderly;Evalution;HCI;Usability","Art;Biomedical monitoring;Demography;Emergency services;Heart rate;Safety;Senior citizens;Software engineering;Usability;Wrist","emergency services;patient monitoring","EMERGE project;Europe elderly population;adverse situation detection;ambient sensors;assistance systems;emergency services;end user acceptance;innovative monitoring;personal monitoring;technical assessment;unobtrusive sensors;vital sign monitoring;wrist device","","2","","13","","","22-25 March 2010","","IEEE","IEEE Conference Publications"
"Framework to predict health diseases using attribute selection mechanism","Chauhan, R.; Bajaj, P.; Choudhary, K.; Gigras, Y.","Banasthali Univ., Jaipur, India","Computing for Sustainable Global Development (INDIACom), 2015 2nd International Conference on","20150504","2015","","","1880","1884","This paper displays a structure of the work exercised through the DM methods which helps in the prediction and treatment of various diseases. This examines two problems (elongated work based on prediction of RCT and Heart Disease) with classification technique based on cross validation, decision tree to discover RCT, split validation and model to detect heart disease before probing advice from the doctor. The important aim of this paper is to treat whether there is a need of RCT or not with different input values of an attributes. All these symptoms or attributes are examined to arrive at a decision that person with an age greater than eighteen and having sensitivity issues have greater probability of root canal treatment. There are more chances of patient being prone to a heart problem through attributes like age, root canal treatment, diabetes and smoking. The introduced system comprise the union of computer-based patient records with clinical decision support can lower down medical mistakes, unwanted practice variation and helps in making efficient patient safety and outcome.","","978-9-3805-4415-1","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7100571","Age;Decision tree;Max_Heart_Rate;Performance;Serum Cholesterol;Smoking;Tooth Decay;Validation Technique","Adaptation models;Analytical models;Computational modeling;Medical diagnostic imaging;Prognostics and health management;Rhythm;Training","data mining;decision trees;diseases;medical diagnostic computing;patient treatment;pattern classification","DM method;attribute selection mechanism;classification technique;clinical decision support;computer-based patient records;cross validation;decision tree;disease prediction;diseases treatment;health disease prediction;patient outcome;patient safety","","0","","","","","11-13 March 2015","","IEEE","IEEE Conference Publications"
"Analysis between ECG and respiration signals in type II diabetic patients in the UAE","Alkhoori, T.M.; Alsafar, H.S.; Khandoker, A.H.","Technol. & Res., Khalifa Univ. of Sci., Abu Dhabi, United Arab Emirates","Biomedical Engineering (MECBME), 2014 Middle East Conference on","20140407","2014","","","346","348","This study presents the first successful preliminary attempt to directly investigate the interactions of power spectra of electrocardiography (ECG) and respiration signals of patients with type II diabetes by coherence analysis. Also the interactions comparing angiotensin converting enzyme (ACE) genotyping groups. ECG and Respiration signals were collected from 43 non-diabetic healthy subjects and 55 patients with type II diabetes in the United Arab Emirates. Coherence between two signals over different frequency bands (0-0.4 Hz) were calculated for very low frequency (VLF: 0.003-0.04 Hz), low frequency (LF: 0.04-0.15Hz) and high frequency (HF: 0.15-0.4 Hz). Overall coherence of ECG and Respiration in HF band is higher in control group than that in the diabetic patients group. A significant (p=0.0162 and p=0.001 after age correction) difference of coherence in the range of 0.15-4 Hz was found between the two groups. Significant HF results for genotyping ACE groups with (p=0.002) were reported after correction for age. The results could be useful in detecting cardiovascular complications to characterize why diabetes population has a high incidence of heart disease. The genotyping analysis could be used for personalizing the diagnosis.","","","","10.1109/MECBME.2014.6783274","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6783274","","Coherence;Diabetes;Electrocardiography;Frequency conversion;Heart rate variability;Resonant frequency","cardiovascular system;diseases;electrocardiography;enzymes;molecular biophysics;pneumodynamics","ACE genotyping groups;ECG;angiotensin converting genotyping groups;cardiovascular complications;coherence analysis;diabetic patients group;electrocardiography;heart disease;power spectra;respiration signals;type II diabetic patients","","1","","11","","","17-20 Feb. 2014","","IEEE","IEEE Conference Publications"
